timestamp,pm25_real,pm25,anomaly_score,anomaly_severity,anomaly_rank,total_generation_mw_real
2025-05-16 11:00:00,2.4529999999999994,-1.7823296272814806,-0.051098764787849915,0.051098764787849915,67,358.752
2025-11-18 21:00:00,5.0409999999999995,-0.8022706406856441,-0.0507717163672482,0.0507717163672482,68,598.624
2025-11-08 14:00:00,5.317999999999998,-0.7237133918911028,-0.0507695777011512,0.0507695777011512,69,467.36
2025-07-22 16:00:00,7.077,-0.2933384682832101,-0.05058639126849496,0.05058639126849496,70,443.12
2024-04-02 06:00:00,19.215000000000003,1.3141501590909974,-0.050517254155222124,0.050517254155222124,71,728.0
2025-11-10 16:00:00,25.318999999999996,1.7765001716359397,-0.05035780160780512,0.05035780160780512,72,600.848
2025-04-01 23:00:00,10.510999999999997,0.327440363938914,-0.05032175070660405,0.05032175070660405,73,453.408
2025-05-16 10:00:00,1.4769999999999999,-2.364406760330622,-0.050112536063000035,0.050112536063000035,74,361.52
2024-05-02 17:00:00,1.722,-2.199140138363803,-0.04971030946397548,0.04971030946397548,75,751.0
2024-06-11 12:00:00,4.504,-0.9653920392170776,-0.04964002625144104,0.04964002625144104,76,685.8
2024-11-22 08:00:00,1.537,-2.322469047236599,-0.04954570787993717,0.04954570787993717,77,737.216
2025-08-21 18:00:00,6.042000000000001,-0.5336165605669823,-0.04934626198090031,0.04934626198090031,78,354.064
2025-04-02 03:00:00,5.9159999999999995,-0.5652521725716999,-0.04921676732651803,0.04921676732651803,79,451.52
2025-08-21 16:00:00,6.1099999999999985,-0.5167777454940723,-0.04889704096722314,0.04889704096722314,80,352.14399999999995
2025-05-16 12:00:00,2.17,-1.9321646368668004,-0.048888320493681636,0.048888320493681636,81,358.208
2025-07-17 15:00:00,7.039999999999997,-0.3013836410241143,-0.04843552876472845,0.04843552876472845,82,484.0
2025-11-21 00:00:00,43.804859999999955,2.708722602004185,-0.04827326376151708,0.04827326376151708,83,609.424
2024-05-04 00:00:00,1.4326600000000007,-2.396056720740808,-0.04816314608735217,0.04816314608735217,84,754.0
2025-11-27 00:00:00,5.696,-0.6218963992459898,-0.04815626620575131,0.04815626620575131,85,734.48
2024-11-22 06:00:00,2.181999999999999,-1.925544173823157,-0.04763079736834552,0.04763079736834552,86,742.544
2025-07-22 18:00:00,5.02,-0.808372378021782,-0.04734578004719414,0.04734578004719414,87,440.048
2025-07-22 17:00:00,6.023000000000001,-0.5383505929125835,-0.0470772220078034,0.0470772220078034,88,440.864
2024-03-28 05:00:00,6.544999999999999,-0.4127262989755229,-0.04697384514101888,0.04697384514101888,89,732.0
2024-09-13 10:00:00,9.909999999999998,0.23348087746856,-0.046678300770437886,0.046678300770437886,90,488.352
2025-07-08 17:00:00,7.350999999999997,-0.234883256669769,-0.04656314199589395,0.04656314199589395,91,473.792
2025-03-16 14:00:00,4.4990000000000006,-0.9669845266492598,-0.046306089589662536,0.046306089589662536,92,694.176
2025-11-03 19:00:00,19.781999999999996,1.3626204655638523,-0.04620112533789211,0.04620112533789211,93,744.944
2025-04-06 08:00:00,6.400999999999997,-0.4464913993537711,-0.04515742116062371,0.04515742116062371,94,441.088
2025-08-22 14:00:00,10.567999999999998,0.3360955387501182,-0.045088006018871196,0.045088006018871196,95,360.0
2025-10-02 05:00:00,4.304,-1.0302482140690798,-0.04506651146837859,0.04506651146837859,96,492.72
2025-11-26 21:00:00,43.804859999999955,2.708722602004185,-0.044997448942656226,0.044997448942656226,97,741.6
2024-11-21 01:00:00,2.0879999999999987,-1.978086578587584,-0.04429581078149558,0.04429581078149558,98,722.096
2025-10-27 05:00:00,1.4326600000000007,-2.396056720740808,-0.04398517714045769,0.04398517714045769,99,473.872
2024-06-10 14:00:00,11.293,0.4426079360220695,-0.04352758166682047,0.04352758166682047,100,663.4
